Date,Day of Week,Weekend,Holiday,Internal Events,Offline Job Count,Network Down,Employees Count,Social Media Count,Guest Count,Mobile Usage Count,Total Swipe Hours,total_usage
2015-01-01,4,0,1,0,18,1,1,0,0,0,8.1019133379,38.049178475594424
2015-01-02,5,0,0,1,116,3,1020,693,8,94,8321.1360181788,5638.464285270687
2015-01-03,6,1,1,0,31,0,46,19,0,0,372.68801354339996,607.0020692629133
2015-01-04,7,1,1,0,29,0,31,11,0,0,251.15931347490002,417.1003247596115
2015-01-05,1,0,1,0,27,0,5,0,0,0,40.5095666895,97.36474340617289
2015-01-06,2,0,0,0,105,4,1073,601,4,167,8721.9452183273,10155.956367218989
2015-01-07,3,0,0,0,86,4,1088,596,5,138,8850.6219700858,10150.384081742259
2015-01-08,4,0,0,0,120,4,1059,571,3,128,8601.3703799066,9891.407298388196
2015-01-09,5,0,0,0,100,0,1195,614,6,96,9724.6747489312,15253.633851262524
2015-01-10,6,1,1,0,32,1,33,14,0,0,267.3631401507,421.4655025989276
2015-01-11,7,1,1,0,21,0,50,10,0,0,405.095666895,613.5483355940919
2015-01-12,1,0,0,0,90,3,1047,581,1,147,8489.8513164717,10778.723650302773
2015-01-13,2,0,0,1,116,5,1001,673,5,125,8145.7555096885,3779.907775920429
2015-01-14,3,0,1,0,19,0,2,0,0,0,16.2038266758,51.627026339864514
2015-01-15,4,0,1,0,20,0,1,0,0,0,8.1019133379,42.05154417757265
2015-01-16,5,0,0,0,96,0,1195,643,4,138,9710.3786455511,15428.510763236167
2015-01-17,6,1,1,0,15,1,54,10,0,0,437.5033202466,599.6493055564233
2015-01-18,7,1,1,0,17,1,20,15,0,0,162.038266758,268.0025356897691
2015-01-19,1,0,0,0,107,2,1140,637,2,106,9250.4773085865,12653.772135363115
2015-01-20,2,0,0,0,120,2,1114,577,1,110,9032.679510111,12290.465608302275
2015-01-21,3,0,0,0,111,2,1186,530,5,153,9644.6094772001,12955.385625032388
2015-01-22,4,0,1,0,33,0,5,0,0,0,40.5095666895,106.64361826768169
2015-01-23,5,0,0,0,88,5,1185,697,7,150,9650.8036672423,10091.536922665882
2015-01-24,6,1,1,0,35,0,31,17,0,0,251.15931347490002,441.363724592107
2015-01-25,7,1,1,0,35,0,24,14,0,0,194.4459201096,356.017732965477
2015-01-26,1,0,1,0,27,1,4,0,0,0,32.4076533516,82.60515244106169
2015-01-27,2,0,0,0,113,2,1061,649,5,95,8631.8703099625,11935.828612052204
2015-01-28,3,0,0,0,106,3,1032,629,3,157,8382.618719783299,10829.513366217141
2015-01-29,4,0,0,0,100,1,1071,588,6,163,8720.0374950316,13016.906376909605
2015-01-30,5,0,0,0,117,0,1002,653,0,100,8118.1171645761,13226.562089859253
2015-01-31,6,1,1,0,33,0,48,15,0,0,388.8918402192,622.3492668478451
2015-02-01,7,1,1,0,23,0,29,19,0,0,234.9554867991,405.55689391433174
2015-02-02,1,0,0,0,119,3,1111,623,0,147,9001.2257184073,11463.154702339169
2015-02-03,2,0,1,0,20,0,0,0,0,0,0.0,30.92958287169599
2015-02-04,3,0,0,0,110,2,1036,609,6,84,8436.4705282051,11571.455167370517
2015-02-05,4,0,0,0,106,4,1170,641,1,89,9486.3866570335,10764.78605521617
2015-02-06,5,0,0,1,86,5,1044,615,2,162,8472.693628148101,3748.6604952719717
2015-02-07,6,1,1,0,31,0,25,18,0,0,202.5478334475,370.94346101100564
2015-02-08,7,1,1,0,29,0,52,14,0,0,421.2994935708,658.1537746685146
2015-02-09,1,0,0,0,89,2,1076,694,7,166,8767.6951134111,12347.788013146379
2015-02-10,2,0,0,0,101,4,1131,530,4,130,9191.8561919255,10306.421697118478
